Nr. ;Datum; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  E-Mail ;  Newsletter
347;01.02.2016; Herr ; Dr. ; Colin ; Pope ; 7.9.1934 ; Erpeler Str. 82 ;80801; München ; 089 / 30622246 ; 0154 / 5680537 ; 089 / 35294571 ; colin.pope@mail.xyz ; ja
348;13.12.2016; Frau ; Prof. ; Paulina ; Schwarzer ; 12.5.1974 ; Ringelnatzstr. 38 ;23911; Ziethen ; 04541 / 95358536 ; 0179 / 7130000 ; 04541 / 93023036 ; paulina.schwarzer@mail.xyz ; ja
349;08.05.2016; Frau ; Dr. ; Elena ; Katz ; 14.9.1935 ; Olpener Str. 125 ;57482; Wenden ; 02762 / 56915825 ; 0156 / 9356527 ; 02762 / 98615586 ; e.katz@mail.xyz ; ja
350;31.07.2016; Frau ; Dr. ; Maria ; Kreutz ; 27.11.1961 ; Am Brook 106 ;83129; Höslwang ; 08055 / 27433113 ; 0162 / 1248502 ; 08055 / 37528216 ; maria.kreutz@mail.xyz ; ja
351;18.10.2016; Herr ; Dr. ; Frank ; Tobias ; 5.1.1925 ; Liboristr. 115 ;24409; Stoltebüll ; 04642 / 47483764 ; 0154 / 8558671 ; 04642 / 48873612 ; frank.tobias@mail.xyz ; ja
352;10.10.2016; Frau ; Dr. ; Jessika ; Ferstl ; 7.3.1969 ; Breul 179 ;35585; Wetzlar ; 06441 / 73998120 ; 0168 / 5181129 ; 06441 / 4996311 ; jessika.ferstl@mail.xyz ; ja
353;22.07.2016; Frau ; Dr. ; Romy ; Grothe ; 1.8.1966 ; Grevener Str. 116 ;90547; Stein ; 0911 / 374753 ; 0162 / 3518704 ; 0911 / 99894684 ; r.grothe@mail.xyz ; ja
354;25.05.2016; Frau ; Dr. ; Greta ; Rupprecht ; 5.1.1947 ; Heisstr. 200 ;55469; Schönborn ; 06761 / 48549160 ; 0169 / 1609663 ; 06761 / 7253879 ; g.rupprecht@mail.xyz ; ja
355;10.11.2016; Herr ; Dr. ; Kai ; Wood ; 11.10.1932 ; Dahlienweg 140 ;57635; Weyerbusch ; 02686 / 50146092 ; 0162 / 3454322 ; 02686 / 91193605 ; k.wood@mail.xyz ; ja
356;24.10.2016; Frau ; Dr. ; Mina ; Neal ; 28.2.1956 ; Hensenstr. 164 ;24306; Rathjensdorf ; 04522 / 80262132 ; 0168 / 2655199 ; 04522 / 30724417 ; m.neal@mail.xyz ; ja
357;02.10.2016; Herr ; Dr. ; Joerg ; Thelen ; 10.1.1975 ; Kempener Str. 156 ;78355; Hohenfels ; 07557 / 38067502 ; 0162 / 9671423 ; 07557 / 58413893 ; joerg.thelen@mail.xyz ; ja
358;10.06.2016; Herr ; Prof. ; Günther ; Reim ; 9.3.1973 ; Im Draum 146 ;74838; Limbach ; 06287 / 32532475 ; 0166 / 2706284 ; 06287 / 55534114 ; g.reim@mail.xyz ; ja
359;19.03.2016; Herr ; Dr. ; Muhammed ; Eckl ; 14.4.1971 ; Kapellenstr. 173 ;92702; Kohlberg ; 09608 / 41287514 ; 0162 / 6312236 ; 09608 / 68999742 ; muhammed.eckl@mail.xyz ; ja
360;19.02.2016; Herr ; Dr. ; Mert ; Pech ; 11.11.1982 ; Osthuesheide 138 ;49434; Neuenkirchen-Vörden ; 05493 / 88259701 ; 0150 / 2848539 ; 05493 / 78459749 ; m.pech@mail.xyz ; ja
361;02.04.2016; Frau ; Dr. ; Ella ; Wörner ; 10.11.1925 ; Eifelstr. 155 ;34599; Neuental ; 06693 / 60697289 ; 0177 / 5604760 ; 06693 / 26681076 ; e.woerner@mail.xyz ; ja
362;02.01.2016; Herr ; Dr. ; Jürgen ; Mair ; 2.11.1947 ; Dorbaumstr. 159 ;6502; Thale ; 03947 / 59030290 ; 0171 / 8124188 ; 03947 / 19805956 ; j.mair@mail.xyz ; ja
363;30.01.2016; Frau ; Prof. ; Céline ; Debus ; 18.8.2000 ; Dammstr. 135 ;54340; Thörnich ; 06502 / 4430536 ; 0177 / 2537548 ; 06502 / 52730339 ; c.debus@mail.xyz ; ja
364;31.10.2016; Herr ; Dr. ; Lorenz ; Simon ; 27.5.1978 ; Hermann-Treff-Weg 108 ;54531; Wallscheid ; 06572 / 12868596 ; 0174 / 9568440 ; 06572 / 19163945 ; lorenz.simon@mail.xyz ; ja
365;06.12.2016; Frau ; Dr. ; Tara ; Sauter ; 12.11.1935 ; Friedrich-Ebert-Str. 144a ;18055; Rostock ; 0381 / 65470880 ; 0164 / 4587327 ; 0381 / 5421084 ; t.sauter@mail.xyz ; ja
366;27.04.2016; Frau ; Dr. ; Kaya ; Baumgarten ; 20.2.1956 ; Flaßkuhl 31 ;37075; Göttingen ; 0551 / 82584658 ; 0171 / 6258422 ; 0551 / 12899348 ; kaya.baumgarten@mail.xyz ; ja
367;24.11.2016; Herr ; Dr. ; Philipp ; Eckl ; 10.1.1998 ; Mariendorfer Str. 117 ;48149; Münster ; 0251 / 86888644 ; 0154 / 3108927 ; 0251 / 81176270 ; p.eckl@mail.xyz ; ja
368;10.07.2016; Herr ; Dr. ; Ulrich ; Siegert ; 16.10.1992 ; Memmertweg 185 ;56584; Rüscheid ; 02634 / 80566533 ; 0150 / 4744676 ; 02634 / 71680131 ; ulrich.siegert@mail.xyz ; ja
369;26.02.2016; Frau ; Prof. ; Leona ; Gaul ; 15.3.1973 ; Bünkamp 90 ;93486; Runding ; 09971 / 57719907 ; 0175 / 8197629 ; 09971 / 88031338 ; leona.gaul@mail.xyz ; ja
370;11.08.2016; Herr ; Dr. ; Mario ; Christensen ; 2.6.1987 ; Beuelsweg 11 ;96486; Lautertal ; 09561 / 95045241 ; 0166 / 4329121 ; 09561 / 30540547 ; mario.christensen@mail.xyz ; ja
371;15.10.2016; Frau ; Dr. ; Ilse ; Stephens ; 15.2.1938 ; Am Wigbold 51 ;56462; Höhn ; 02663 / 82555491 ; 0159 / 3751230 ; 02663 / 97861154 ; ilse.stephens@mail.xyz ; ja
372;03.06.2016; Herr ; Dr. ; Raphael ; Seeger ; 24.5.1925 ; Gartenstr. 106 ;24598; Heidmühlen ; 04320 / 13662462 ; 0168 / 9377276 ; 04320 / 32241539 ; r.seeger@mail.xyz ; ja
373;13.05.2016; Frau ; Prof. ; Emmily ; Denzer ; 13.5.1970 ; Methweg 132 ;86720; Nördlingen ; 09081 / 72706294 ; 0166 / 7262767 ; 09081 / 50367667 ; e.denzer@mail.xyz ; ja
374;23.10.2016; Frau ; Dr. ; Nelly ; Volk ; 21.7.1972 ; Carossastr. 60 ;37308; Glasehausen ; 03606 / 50598446 ; 0150 / 7304140 ; 03606 / 67797055 ; n.volk@mail.xyz ; ja
375;16.05.2016; Herr ; Dr. ; Karlo ; Hopkins ; 26.11.1925 ; Am Oedingteich 141 ;70199; Stuttgart ; 0711 / 61301248 ; 0156 / 2975787 ; 0711 / 2836660 ; k.hopkins@mail.xyz ; ja
376;16.06.2016; Herr ; Prof. ; Anton ; Radtke ; 5.12.1950 ; Weserstr. 145 ;67271; Mertesheim ; 06359 / 98612369 ; 0161 / 2017318 ; 06359 / 71855395 ; a.radtke@mail.xyz ; ja
377;28.05.2016; Frau ; Dr. ; Sophie ; Clayton ; 14.5.1978 ; Försterstr. 136 ;96170; Lisberg ; 09549 / 13515829 ; 0161 / 6754453 ; 09549 / 38940340 ; sophie.clayton@mail.xyz ; ja
378;15.02.2016; Frau ; Dr. ; Rosa ; Breunig ; 23.12.1982 ; Landoisstr. 184 ;56648; Saffig ; 02625 / 31425004 ; 0168 / 1695055 ; 02625 / 67969183 ; rosa.breunig@mail.xyz ; ja
379;07.01.2016; Frau ; Dr. ; Eileen ; Bühler ; 2.3.1945 ; Papenbusch 13 ;66917; Biedershausen ; 06375 / 36242330 ; 0162 / 6816425 ; 06375 / 24883242 ; e.buehler@mail.xyz ; ja
380;05.02.2016; Frau ; Dr. ; Julia ; Haas ; 11.1.1927 ; Innsbruckweg 198 ;33803; Steinhagen ; 05204 / 66221609 ; 0177 / 7797292 ; 05204 / 89361084 ; j.haas@mail.xyz ; ja
381;01.05.2016; Frau ; Dr. ; Isabel ; Saalmann ; 20.5.1986 ; Friesenring 32 ;59846; Sundern ; 02933 / 75222607 ; 0162 / 7106312 ; 02933 / 28382681 ; i.saalmann@mail.xyz ; ja
382;05.07.2016; Frau ; Dr. ; Kim ; Kromer ; 1.2.1924 ; Eifelstr. 183 ;23743; Grömitz ; 04562 / 56535632 ; 0167 / 5380341 ; 04562 / 79208956 ; kim.kromer@mail.xyz ; ja
383;16.07.2016; Frau ; Dr. ; Lene ; Kunert ; 10.12.1959 ; Johanniterstr. 104 ;83556; Griesstätt ; 08039 / 53143690 ; 0176 / 7360825 ; 08039 / 36599204 ; lene.kunert@mail.xyz ; ja
384;08.01.2016; Frau ; Prof. ; Matilda ; Heinemann ; 1.8.1924 ; Enschedeweg 57 ;57629; Malberg ; 02747 / 32880355 ; 0177 / 5404169 ; 02747 / 32158760 ; matilda.heinemann@mail.xyz ; ja
385;23.07.2016; Herr ; Dr. ; Malte ; Stein ; 20.6.1939 ; Grevener Str. 84 ;25355; Heede ; 04123 / 4677669 ; 0163 / 5268071 ; 04123 / 76217523 ; m.stein@mail.xyz ; ja
386;08.06.2016; Herr ; Prof. ; Johann ; Barber ; 17.4.1924 ; Bernhard-Poether-Str. 50a ;26802; Moormerland ; 04954 / 14976269 ; 0158 / 9082696 ; 04954 / 20629128 ; johann.barber@mail.xyz ; ja
387;18.08.2016; Frau ; Dr. ; Linda ; Krone ; 3.12.1951 ; Salzmannstr. 128 ;74906; Bonfeld ; 07066 / 78756425 ; 0170 / 4658105 ; 07066 / 33505904 ; l.krone@mail.xyz ; ja
388;31.08.2016; Herr ; Dr. ; Henry ; Adams ; 21.3.1941 ; Grevener Str. 120 ;44879; Bochum ; 0234 / 24191884 ; 0169 / 6806434 ; 0234 / 99378620 ; henry.adams@mail.xyz ; ja
389;13.11.2016; Herr ; Dr. ; Mark ; Spiess ; 11.9.1928 ; Max-Winkelmann-Str. 60 ;24799; Meggerdorf ; 04883 / 24104997 ; 0157 / 5443906 ; 04883 / 60129705 ; mark.spiess@mail.xyz ; ja
390;11.04.2016; Frau ; Prof. ; Xenia ; Walk ; 1.5.1964 ; Gremmendorfer Weg 179 ;56826; Wagenhausen ; 02676 / 39708466 ; 0161 / 9058192 ; 02676 / 89916348 ; xenia.walk@mail.xyz ; ja
391;02.07.2016; Frau ; Dr. ; Christiane ; Sims ; 25.9.1921 ; Am Hörsterfriedhof 113 ;95460; Bad Berneck ; 09273 / 44248431 ; 0175 / 5803469 ; 09273 / 62144358 ; christiane.sims@mail.xyz ; ja
392;27.03.2016; Herr ; Prof. ; Roman ; Elsner ; 19.5.1940 ; Hansaring 160 ;23909; Ratzeburg ; 04541 / 45899082 ; 0161 / 3877942 ; 04541 / 28980566 ; r.elsner@mail.xyz ; ja
393;16.11.2016; Herr ; Dr. ; Matthis ; Nowak ; 26.6.1946 ; Nienkamp 133 ;74391; Erligheim ; 07143 / 87898813 ; 0171 / 8187966 ; 07143 / 82406241 ; matthis.nowak@mail.xyz ; ja
394;01.11.2016; Herr ; Dr. ; Yannick ; Neuendorf ; 4.4.1923 ; Am Hörsterfriedhof 142 ;57612; Busenhausen ; 02681 / 76108613 ; 0158 / 1853533 ; 02681 / 36317441 ; y.neuendorf@mail.xyz ; ja
395;05.04.2016; Herr ; Prof. ; Georg ; Lierzer ; 22.6.1967 ; Rüschhausweg 110 ;94244; Geiersthal ; 09923 / 50009756 ; 0168 / 5360027 ; 09923 / 46757868 ; georg.lierzer@mail.xyz ; ja
396;16.11.2016; Herr ; Prof. ; Heinrich ; Künzel ; 26.7.1994 ; Hensenstr. 72a ;21706; Drochtersen ; 04143 / 87815751 ; 0165 / 1899998 ; 04143 / 59649066 ; heinrich.kuenzel@mail.xyz ; ja
397;20.12.2016; Frau ; Dr. ; Elke ; Schauer ; 3.9.1958 ; Landoisstr. 2 ;18276; Mühl Rosin ; 03843 / 75114064 ; 0158 / 1723496 ; 03843 / 94490972 ; elke.schauer@mail.xyz ; ja
398;19.04.2016; Herr ; Dr. ; Noel ; Krüger ; 24.9.1954 ; Werseblick 67 ;95365; Rugendorf ; 09223 / 68652853 ; 0173 / 6587073 ; 09223 / 69588809 ; n.krueger@mail.xyz ; ja
399;18.01.2016; Frau ; Dr. ; Ann ; Guzman ; 11.4.1932 ; Mondstr. 9 ;56746; Spessart ; 02636 / 80649611 ; 0167 / 4093887 ; 02636 / 81311143 ; a.guzman@mail.xyz ; ja
400;19.03.2016; Herr ; Dr. ; Piet ; Maassen ; 15.1.1925 ; Ossenkampstiege 22 ;25791; Barkenholm ; 04836 / 13667585 ; 0151 / 3139228 ; 04836 / 36376470 ; p.maassen@mail.xyz ; ja
401;21.09.2016; Frau ; Dr. ; Karoline ; Kehl ; 7.1.1967 ; Teutonenstr. 53 ;63828; Kleinkahl ; 06024 / 37867464 ; 0151 / 1944000 ; 06024 / 31690196 ; karoline.kehl@mail.xyz ; ja
402;28.08.2016; Herr ; Dr. ; Louis ; Moritz ; 21.1.1996 ; Piusallee 47 ;83700; Rottach-Egern ; 08022 / 62115714 ; 0166 / 7332273 ; 08022 / 292655 ; l.moritz@mail.xyz ; ja
403;07.05.2016; Frau ; Dr. ; Nadine ; Murray ; 16.4.1989 ; Dauvemühle 55 ;69518; Abtsteinach ; 06207 / 20433863 ; 0154 / 3301686 ; 06207 / 59968160 ; n.murray@mail.xyz ; ja
404;29.12.2016; Frau ; Dr. ; Marie ; Wassermann ; 7.6.1980 ; Salzmannstr. 93 ;74238; Krautheim ; 06294 / 58164210 ; 0150 / 2095626 ; 06294 / 65821789 ; m.wassermann@mail.xyz ; ja
405;27.11.2016; Frau ; Dr. ; Karina ; Lindner ; 22.1.1998 ; Kempener Str. 27 ;36132; Eiterfeld ; 06672 / 41347449 ; 0169 / 5060739 ; 06672 / 56531079 ; karina.lindner@mail.xyz ; ja
406;02.10.2016; Herr ; Prof. ; Moritz ; Kaminski ; 6.11.1929 ; An den Mühlen 87 ;82291; Mammendorf ; 08145 / 43873061 ; 0154 / 1381931 ; 08145 / 57923514 ; moritz.kaminski@mail.xyz ; ja
407;21.09.2016; Frau ; Dr. ; Kaja ; Französisch ; 9.7.1951 ; Am Filk 88 ;7389; Peuschen ; 03647 / 7240459 ; 0174 / 5466418 ; 03647 / 54112928 ; kaja.franzoesisch@mail.xyz ; ja
408;19.07.2016; Herr ; Dr. ; Erwin ; Wheeler ; 11.4.1995 ; Flaßkuhl 46 ;34292; Ahnatal ; 05609 / 2778883 ; 0173 / 9916406 ; 05609 / 23938555 ; e.wheeler@mail.xyz ; ja
409;11.06.2016; Frau ; Dr. ; Carlotta ; Dick ; 10.5.1987 ; Morthorststr. 108 ;85114; Buxheim ; 08458 / 86774615 ; 0162 / 6311479 ; 08458 / 95427127 ; c.dick@mail.xyz ; ja
410;27.02.2016; Frau ; Dr. ; Lynn ; Norton ; 16.5.1955 ; Gasselstiege 71 ;19288; Alt Krenzlin ; 03874 / 97674971 ; 0163 / 8233698 ; 03874 / 24763411 ; lynn.norton@mail.xyz ; ja
411;18.12.2016; Herr ; Prof. ; Reinhard ; Burns ; 18.9.1997 ; Schützenstr. 154 ;79865; Grafenhausen ; 07748 / 97081896 ; 0173 / 6131701 ; 07748 / 14214396 ; r.burns@mail.xyz ; ja
412;19.12.2016; Frau ; Dr. ; Stefanie ; Erpel ; 2.6.1979 ; Hirseweg 26 ;79804; Dogern ; 07751 / 39890302 ; 0161 / 4051460 ; 07751 / 97753300 ; stefanie.erpel@mail.xyz ; ja
413;11.12.2016; Frau ; Dr. ; Mara ; Kohler ; 25.10.1979 ; Am Wigbold 56 ;80634; München ; 089 / 40896943 ; 0162 / 3314514 ; 089 / 77138005 ; mara.kohler@mail.xyz ; ja
414;31.07.2016; Frau ; Dr. ; Sigrid ; Klotz ; 26.5.1973 ; Emdener Str. 60 ;57614; Oberwambach ; 02681 / 68180103 ; 0172 / 2533280 ; 02681 / 95341822 ; sigrid.klotz@mail.xyz ; ja
415;23.06.2016; Herr ; Dr. ; Tomas ; Garza ; 17.3.1923 ; Sanddornweg 29 ;54675; Obergeckler ; 06564 / 51065917 ; 0151 / 6416886 ; 06564 / 81586224 ; t.garza@mail.xyz ; ja
416;05.03.2016; Frau ; Dr. ; Karoline ; Kübler ; 26.5.1932 ; Am Brook 193 ;91161; Hilpoltstein ; 09174 / 28094641 ; 0155 / 7179719 ; 09174 / 36692991 ; k.kuebler@mail.xyz ; ja
417;15.07.2016; Frau ; Dr. ; Sofia ; Koch ; 23.9.1938 ; Dammstr. 186 ;96271; Grub am Forst ; 09560 / 6903860 ; 0176 / 5505609 ; 09560 / 71507632 ; s.koch@mail.xyz ; ja
418;28.09.2016; Herr ; Prof. ; Patrick ; Thiel ; 6.10.1959 ; Breslauer Str. 64 ;56281; Karbach ; 06747 / 52511984 ; 0154 / 9741841 ; 06747 / 56125830 ; p.thiel@mail.xyz ; ja
419;29.07.2016; Herr ; Prof. ; Richard ; Reinartz ; 2.5.1989 ; Widdeshover Weg 51 ;25779; Kleve ; 04836 / 23433377 ; 0164 / 5039934 ; 04836 / 52973069 ; richard.reinartz@mail.xyz ; ja
420;03.02.2016; Frau ; Dr. ; Mia ; Schöne ; 6.11.1987 ; An Lyskirchen 92a ;88690; Uhldingen-Mühlhofen ; 07556 / 85917452 ; 0175 / 8420454 ; 07556 / 5657448 ; m.schoene@mail.xyz ; ja
421;28.01.2016; Herr ; Dr. ; Oliver ; Marx ; 26.2.1946 ; Nerzweg 170 ;88416; Ochsenhausen ; 07352 / 6626498 ; 0169 / 9573471 ; 07352 / 31961237 ; o.marx@mail.xyz ; ja
422;28.10.2016; Herr ; Prof. ; Mattis ; Giese ; 17.2.1988 ; Münzstr. 183 ;24321; Hohwacht ; 04381 / 36194120 ; 0155 / 9478791 ; 04381 / 60335235 ; m.giese@mail.xyz ; ja
423;21.02.2016; Frau ; Dr. ; Yasmin ; Langer ; 2.5.1932 ; Berrischstr. 162 ;93095; Hagelstadt ; 09453 / 69871809 ; 0158 / 1151444 ; 09453 / 40327388 ; y.langer@mail.xyz ; ja
424;19.09.2016; Frau ; Dr. ; Mariella ; Bailey ; 11.5.1955 ; Zum Guten Hirten 108 ;35781; Weilburg ; 06471 / 93768589 ; 0172 / 3058171 ; 06471 / 42532991 ; mariella.bailey@mail.xyz ; ja
425;02.05.2016; Herr ; Dr. ; Jörn ; Murray ; 27.1.1994 ; Kirchstr. 35 ;56355; Winterwerb ; 06772 / 26715506 ; 0170 / 8689206 ; 06772 / 81590190 ; joern.murray@mail.xyz ; ja
426;02.07.2016; Herr ; Dr. ; Jakob ; Horn ; 24.1.1920 ; Widdeshover Weg 63a ;57632; Peterslahr ; 02685 / 64059425 ; 0150 / 6714696 ; 02685 / 45704833 ; j.horn@mail.xyz ; ja
427;02.08.2016; Frau ; Prof. ; Daniela ; Knight ; 10.10.1996 ; Münsterstr. 125 ;66809; Nalbach ; 06838 / 1165135 ; 0167 / 5224144 ; 06838 / 78712552 ; daniela.knight@mail.xyz ; ja
428;12.11.2016; Herr ; Dr. ; Martin ; Hogan ; 18.9.1974 ; Osthuesheide 53 ;82494; Krün ; 08825 / 88420987 ; 0167 / 3296872 ; 08825 / 884320 ; m.hogan@mail.xyz ; ja
429;16.12.2016; Herr ; Dr. ; Piet ; Six ; 7.6.1950 ; Liboristr. 94 ;23795; Klein Gladebrügge ; 04551 / 56387352 ; 0157 / 2035760 ; 04551 / 53025961 ; piet.six@mail.xyz ; ja
430;14.01.2016; Herr ; Dr. ; Reinhard ; Patton ; 2.6.1928 ; Im Haubenfeld 48 ;83308; Trostberg ; 08621 / 16404580 ; 0150 / 1618929 ; 08621 / 91603328 ; r.patton@mail.xyz ; ja
431;14.02.2016; Frau ; Prof. ; Nike ; Schrader ; 23.12.1952 ; Osthuesheide 150 ;99718; Trebra ; 03636 / 67146005 ; 0165 / 1166158 ; 03636 / 42958988 ; nike.schrader@mail.xyz ; ja
432;07.11.2016; Frau ; Dr. ; Julia ; Schädler ; 27.11.1996 ; Heinrichstr. 191 ;87660; Irsee ; 08341 / 77643896 ; 0157 / 3123512 ; 08341 / 58793744 ; j.schaedler@mail.xyz ; ja
433;01.10.2016; Herr ; Dr. ; Noah ; Thornton ; 11.3.1935 ; Gartenstr. 150 ;24558; Henstedt-Ulzburg ; 04193 / 28243616 ; 0178 / 2071206 ; 04193 / 23205311 ; n.thornton@mail.xyz ; ja
434;28.06.2016; Herr ; Prof. ; Andreas ; Hildebrandt ; 28.1.1956 ; Angelmodder Weg 180a ;31039; Rheden ; 05182 / 78098755 ; 0161 / 8754632 ; 05182 / 13434439 ; andreas.hildebrandt@mail.xyz ; ja
435;28.12.2016; Herr ; Dr. ; Max ; Schaper ; 9.6.1969 ; Hindenburgplatz 3 ;85417; Marzling ; 08161 / 48909363 ; 0152 / 2102181 ; 08161 / 99948921 ; max.schaper@mail.xyz ; ja
436;20.04.2016; Herr ; Prof. ; Dustin ; Brüggemann ; 26.5.1992 ; Simon-Meister-Str. 34 ;79777; Ühlingen-Birkendorf ; 07743 / 58554319 ; 0169 / 3573079 ; 07743 / 517405 ; dustin.brueggemann@mail.xyz ; ja
437;31.03.2016; Herr ; Dr. ; Bernhardt ; Green ; 16.4.1999 ; Am Krausen Baum 50 ;59069; Hamm ; 02381 / 43693810 ; 0162 / 5759051 ; 02381 / 31151912 ; bernhardt.green@mail.xyz ; ja
438;18.02.2016; Frau ; Dr. ; Lisa ; Gering ; 26.8.1957 ; Sophienstr. 151 ;13581; Spandau ; 030 / 47832157 ; 0161 / 3643113 ; 030 / 90275836 ; l.gering@mail.xyz ; ja
439;03.11.2016; Herr ; Dr. ; Hannes ; Reinicke ; 6.7.1972 ; Kurneystr. 146 ;57612; Isert ; 02681 / 57554623 ; 0151 / 7908555 ; 02681 / 14528684 ; h.reinicke@mail.xyz ; ja
440;24.11.2016; Herr ; Dr. ; Reiner ; Kranz ; 13.9.1992 ; Stolbergstr. 156 ;97289; Thüngen ; 09360 / 35950374 ; 0151 / 6413143 ; 09360 / 33171839 ; reiner.kranz@mail.xyz ; ja
441;29.04.2016; Frau ; Dr. ; Meike ; Marks ; 12.7.1921 ; Dorotheenstr. 149 ;9117; Chemnitz ; 0371 / 86134132 ; 0175 / 8969707 ; 0371 / 52867666 ; m.marks@mail.xyz ; ja
442;04.05.2016; Herr ; Prof. ; Alexander ; Brosch ; 9.11.1935 ; Arnheimweg 183 ;35708; Haiger ; 02773 / 40573633 ; 0171 / 4656415 ; 02773 / 67094225 ; alexander.brosch@mail.xyz ; ja
443;28.09.2016; Frau ; Dr. ; Ina ; Langen ; 28.9.1931 ; Rektoratsweg 160 ;69242; Mühlhausen ; 06222 / 37040102 ; 0172 / 1768090 ; 06222 / 31243142 ; ina.langen@mail.xyz ; ja
444;01.09.2016; Herr ; Dr. ; Luc ; Lauterbach ; 3.6.1980 ; Marsweg 70 ;57482; Wenden ; 02762 / 29213955 ; 0159 / 4115172 ; 02762 / 62530380 ; luc.lauterbach@mail.xyz ; ja
445;04.01.2016; Frau ; Dr. ; Fiona ; Wiedmann ; 18.2.1946 ; Wormser Str. 77 ;24616; Willenscharen ; 04822 / 94629974 ; 0160 / 5530818 ; 04822 / 58420728 ; fiona.wiedmann@mail.xyz ; ja
446;17.09.2016; Herr ; Dr. ; Helmuth ; Zacharias ; 21.11.1955 ; Am Römerhof 48 ;25376; Krempdorf ; 04124 / 69087088 ; 0174 / 2642518 ; 04124 / 98230211 ; helmuth.zacharias@mail.xyz ; ja
447;15.04.2016; Frau ; Prof. ; Leah ; Jakobi ; 19.4.1957 ; Nieland 17a ;21444; Vierhöfen ; 04172 / 99690857 ; 0177 / 4980231 ; 04172 / 28141269 ; leah.jakobi@mail.xyz ; ja
448;06.01.2016; Frau ; Prof. ; Krista ; Warneke ; 27.4.1952 ; Rennbahnstr. 22 ;38468; Ehra-Lessien ; 05377 / 41200022 ; 0155 / 7231578 ; 05377 / 66882981 ; k.warneke@mail.xyz ; ja
449;21.03.2016; Frau ; Dr. ; Maren ; Galle ; 7.7.1941 ; Pankokstr. 107 ;31691; Seggebruch ; 05722 / 27195917 ; 0171 / 3786191 ; 05722 / 14032944 ; m.galle@mail.xyz ; ja
450;24.04.2016; Frau ; Prof. ; Kristine ; Gonzales ; 14.6.1979 ; Agrippastr. 186 ;72664; Kohlberg ; 07025 / 82679765 ; 0167 / 3141575 ; 07025 / 27832685 ; kristine.gonzales@mail.xyz ; ja
451;02.07.2016; Herr ; Dr. ; Jannik ; Jankowski ; 12.3.1922 ; Am Burloh 155 ;24601; Ruhwinkel ; 04326 / 6461629 ; 0163 / 5467115 ; 04326 / 55834534 ; jannik.jankowski@mail.xyz ; ja
452;02.03.2016; Herr ; Dr. ; Jeremie ; Ramirez ; 6.6.1965 ; Angelstr. 55 ;46537; Dinslaken ; 02064 / 25074937 ; 0155 / 3501737 ; 02064 / 13197454 ; jeremie.ramirez@mail.xyz ; ja
453;18.11.2016; Herr ; Prof. ; Falk ; Deppe ; 16.4.1973 ; Guntherstr. 1 ;93354; Biburg ; 09444 / 34131633 ; 0155 / 7435045 ; 09444 / 72032650 ; f.deppe@mail.xyz ; ja
454;04.07.2016; Frau ; Dr. ; Svenja ; Bross ; 6.2.1972 ; Von-Holte-Str. 96 ;25569; Kremperheide ; 04824 / 9687936 ; 0173 / 2731203 ; 04824 / 19245434 ; svenja.bross@mail.xyz ; ja
455;09.10.2016; Frau ; Dr. ; Stefanie ; Sorg ; 4.9.1934 ; Parkallee 61 ;41539; Dormagen ; 02133 / 87339533 ; 0154 / 1750007 ; 02133 / 53567762 ; s.sorg@mail.xyz ; ja
456;15.06.2016; Frau ; Dr. ; Annabel ; Haas ; 19.12.1938 ; Starweg 64 ;56288; Spesenroth ; 06762 / 33272009 ; 0152 / 2621564 ; 06762 / 42841863 ; a.haas@mail.xyz ; ja
457;02.08.2016; Frau ; Dr. ; Melanie ; Wolter ; 9.1.1928 ; Arnheimweg 122 ;24238; Selent ; 04384 / 68811198 ; 0156 / 7084804 ; 04384 / 59126440 ; melanie.wolter@mail.xyz ; ja
458;12.09.2016; Herr ; Dr. ; Maximilian ; Padilla ; 22.11.1923 ; Deutz-Kalker Str. 48 ;55576; Zotzenheim ; 06701 / 13872441 ; 0172 / 6313820 ; 06701 / 79507481 ; maximilian.padilla@mail.xyz ; ja
459;05.10.2016; Frau ; Dr. ; Helena ; Schell ; 20.5.1971 ; Gleueler Str. 8 ;56077; Koblenz am Rhein ; 0261 / 35831572 ; 0174 / 9993922 ; 0261 / 99680814 ; h.schell@mail.xyz ; ja
460;01.12.2016; Frau ; Dr. ; Kira ; Lück ; 10.9.1952 ; Münzstr. 87 ;24817; Tetenhusen ; 04624 / 84419278 ; 0150 / 5836749 ; 04624 / 92505677 ; kira.lueck@mail.xyz ; ja
461;06.12.2016; Herr ; Dr. ; Sascha ; Meissner ; 6.6.1966 ; Rinkerodeweg 103 ;72505; Krauchenwies ; 07576 / 37772478 ; 0172 / 6354680 ; 07576 / 78816389 ; sascha.meissner@mail.xyz ; ja
462;20.06.2016; Herr ; Prof. ; Alfred ; Demmer ; 22.4.1926 ; Deutz-Kalker Str. 61a ;71720; Oberstenfeld ; 07062 / 26570739 ; 0161 / 9093310 ; 07062 / 57973605 ; alfred.demmer@mail.xyz ; ja
